tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
654,115838,True,Tue Oct 31 22:53:50 +0000 2017,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,655,653
655,AmazonHelp,False,Tue Oct 31 23:07:33 +0000 2017,@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,,654
694,AmazonHelp,False,Tue Oct 31 22:15:28 +0000 2017,@115853 I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: https://t.co/z6evtFsZI5 ^BN,,695
695,115853,True,Tue Oct 31 21:17:03 +0000 2017,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,694,
2561,116318,True,Tue Oct 31 21:26:14 +0000 2017,Erm @AmazonHelp I bought this item for £5.99... why am I only getting £1.67 back?! https://t.co/lb33bFOcW0,"2560,2562,2563",
3654,AmazonHelp,False,Wed Nov 22 10:13:29 +0000 2017,"@116586 Hi, you can edit your order at any time before it enters the dispatch process. To do this please check out our help page: https://t.co/wRa3FyXyBb ^KI",,3655
3655,116586,True,Wed Nov 22 10:02:47 +0000 2017,"just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying @115830","3654,3656",
4867,AmazonHelp,False,Tue Oct 31 23:16:00 +0000 2017,"@116852 I'm very sorry about your lost package, Lodi! We'd like to help! Please reach out to us here: https://t.co/hApLpMlfHN ^HM",,4868
4868,116852,True,Tue Oct 31 23:05:09 +0000 2017,Ordered one simple camera from @115821 3x and all the 3x it’s been lost in transit. Ha you’ve got to be kidding me.. 😒😒😒😒😒,4867,
5138,AmazonHelp,False,Sun Nov 26 00:23:00 +0000 2017,@116917 I'm sorry for this wait. Has the tracking information on your order updated: https://t.co/Y5jpI9gRhE? Deliveries continue through to 8PM so please keep us in the loop on your order's arrival. Thank you. ^DO,,5139
5139,116917,True,Sun Nov 26 00:19:39 +0000 2017,Just ordered @115877. Let’s see what gets here first. My package from @115821 which has been “On It’s Way” since 1:22am or the food. #TheRaceIsOn,5138,
8520,AmazonHelp,False,Tue Oct 31 23:52:28 +0000 2017,"@117496 Sin dudas, el mejor lugar para comer pollo frito. 🍗 ¡Nos alegra saber que recibiste tu pedido, Carl! :D ^CR",,8521
8521,117496,True,Tue Oct 31 23:41:18 +0000 2017,@115821 Hasta que al fin llegó #BrBa https://t.co/7y2HKQlA2R,8520,8522
8529,117498,True,Wed Nov 01 00:05:16 +0000 2017,@AmazonHelp Thank you but unsure how that’s going to help as just says “put for delivery and arriving today when I know it proberly won’t :/,8530,8528
8530,AmazonHelp,False,Wed Nov 01 00:48:00 +0000 2017,"@117498 I can understand your reluctance, but we can provide you with additional options depending on who the seller is.  ^SY","8531,8532",8529
8531,117498,True,Wed Nov 01 08:55:01 +0000 2017,@AmazonHelp Okay....what information do you need to be able to help then???,8533,8530
8532,117498,True,Wed Nov 01 09:01:24 +0000 2017,@AmazonHelp The last update was on 22nd Oct saying it’s out for delivery.....you can’t tell me it take a over two weeks to deliver https://t.co/iB2HaSBOqk,8534,8530
8539,AmazonHelp,False,Tue Oct 31 23:45:00 +0000 2017,@117088 Request you to please fill in the details in the link provided earlier and we'll look into this. ^MK,,8540
8540,117088,True,Tue Oct 31 23:41:31 +0000 2017,@115850 pls investigate ur satara (Maharashtra) amzn staff or ur reputation is doomed in the region in long term.,8539,
10657,AmazonHelp,False,Wed Nov 01 00:34:00 +0000 2017,@117954 I'm sorry to hear about the trouble. We'd like to take a closer look into this for you here: https://t.co/hApLpMlfHN ^LI,,10658
10658,117954,True,Wed Nov 01 00:25:27 +0000 2017,"@117093 Hey yall. Why is my checkout not working? I click ""checkout with fresh"" and it takes me to an error page. What's the deal?",10657,
10661,AmazonHelp,False,Wed Nov 01 00:30:44 +0000 2017,@117956 I'm sorry you haven't received your item! Can you tell us who the carrier is? Found here: https://t.co/q4LAMZ3tbE ^AC,,10662
10662,117956,True,Wed Nov 01 00:27:36 +0000 2017,@115821 where’s my damn nutribullet,10661,
11065,118087,True,Wed Nov 01 01:21:59 +0000 2017,"@AmazonHelp it was doing this a few days ago and a factory reset fixed it, for two days. A hard reboot with card in or out does not resolve.",11069,11062
11069,AmazonHelp,False,Wed Nov 01 01:44:00 +0000 2017,"@118087 That's odd! We'd like to help further with this. When you can, please reach out to us here: https://t.co/hApLpMlfHN ^HM",,11065
11579,118231,True,Wed Nov 01 01:09:57 +0000 2017,@AmazonHelp Please do it fast,"11581,11582,11583",11578
11583,AmazonHelp,False,Wed Nov 01 01:17:27 +0000 2017,"@118231 I get your concern, Hussain. As requested, please reply to the correspondence sent by our specialist team. (1/3) ^SV",,11579
12494,118498,True,Wed Nov 01 01:45:07 +0000 2017,@AmazonHelp I already emailed y’all.,12497,12493
12497,AmazonHelp,False,Wed Nov 01 02:06:00 +0000 2017,"@118498 I'm sorry about the link. For a faster response, contact us by phone here: https://t.co/jzvkhdlrK5 without signing in. ^BE",12498,12494
12498,118498,True,Wed Nov 01 02:06:55 +0000 2017,@AmazonHelp Is that a 24 hr line,12499,12497
12499,AmazonHelp,False,Wed Nov 01 02:13:00 +0000 2017,@118498 Yes. Our main customer service line is open 24 hours a day. ^LJ,12500,12498
12500,118498,True,Wed Nov 01 02:13:22 +0000 2017,@AmazonHelp Thanks.,,12499
12508,AmazonHelp,False,Wed Nov 01 01:33:48 +0000 2017,@118503 That does seem excessive. Help us improve by leaving order specific packaging feedback here: https://t.co/TH7UAFZey5. ^EZ,,12509
12509,118503,True,Wed Nov 01 01:31:23 +0000 2017,@115821 thanks for such thoughtful packing. Must be why it takes so long to ship #whoneedspeanuts #oversized https://t.co/c3quxqnvqi,12508,
12540,118505,True,Sun Oct 29 04:22:08 +0000 2017,"@AmazonHelp Message from Rahul from Social Media team.
Upon checking your order I see that issue is being handled by Executive Customer Relations team.","12539,12541",12542
12542,AmazonHelp,False,Sun Oct 29 03:58:56 +0000 2017,"@118505 We've sent a correspondence to your registered email address, request you to check the same. ^SH","12540,12543",12544
12544,118505,True,Sun Oct 29 03:45:30 +0000 2017,@AmazonHelp Can you please update over this quickly,"12542,12545",12546
13174,AmazonHelp,False,Wed Nov 01 01:53:33 +0000 2017,@118707 Parece um livro interessante demais. Espero que curta muito da leitura dele! :D Abraço. ^CR,,13175
13175,118707,True,Wed Nov 01 01:51:28 +0000 2017,@AmazonHelp É o livro Os arquivos secretos do homem morcego. Simplesmente magnífico,13174,13176
13876,118918,True,Tue Oct 31 09:40:20 +0000 2017,@AmazonHelp done.,13874,13877
13877,AmazonHelp,False,Tue Oct 31 09:40:00 +0000 2017,@118918 Kindly share your details in the link given earlier and we'll be sure to help you in getting this issue resolved. ^ZH,13876,13878
13878,118918,True,Tue Oct 31 09:27:52 +0000 2017,@AmazonHelp all emails already shared with earlier tweet. https://t.co/2sVFZ4iG9Q,13877,13879
15282,119352,True,Wed Nov 01 04:03:27 +0000 2017,@AmazonHelp Order details!!! https://t.co/Rapb0ePnLK,"15283,15284",15273
15283,AmazonHelp,False,Wed Nov 01 04:28:31 +0000 2017,@119352 Please don’t provide your order details as we consider them to be personal info. Our Twitter page is visible to public. ^JC,,15282
