thread_id,customer_text,brand_text
654,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ
695,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,@115853 I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: https://t.co/z6evtFsZI5 ^BN
3655,"just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying @115830","@116586 Hi, you can edit your order at any time before it enters the dispatch process. To do this please check out our help page: https://t.co/wRa3FyXyBb ^KI"
4868,Ordered one simple camera from @115821 3x and all the 3x it’s been lost in transit. Ha you’ve got to be kidding me.. 😒😒😒😒😒,"@116852 I'm very sorry about your lost package, Lodi! We'd like to help! Please reach out to us here: https://t.co/hApLpMlfHN ^HM"
5139,Just ordered @115877. Let’s see what gets here first. My package from @115821 which has been “On It’s Way” since 1:22am or the food. #TheRaceIsOn,@116917 I'm sorry for this wait. Has the tracking information on your order updated: https://t.co/Y5jpI9gRhE? Deliveries continue through to 8PM so please keep us in the loop on your order's arrival. Thank you. ^DO
8521,@115821 Hasta que al fin llegó #BrBa https://t.co/7y2HKQlA2R,"@117496 Sin dudas, el mejor lugar para comer pollo frito. 🍗 ¡Nos alegra saber que recibiste tu pedido, Carl! :D ^CR"
8529,@AmazonHelp Thank you but unsure how that’s going to help as just says “put for delivery and arriving today when I know it proberly won’t :/,"@117498 I can understand your reluctance, but we can provide you with additional options depending on who the seller is.  ^SY"
8540,@115850 pls investigate ur satara (Maharashtra) amzn staff or ur reputation is doomed in the region in long term.,@117088 Request you to please fill in the details in the link provided earlier and we'll look into this. ^MK
10658,"@117093 Hey yall. Why is my checkout not working? I click ""checkout with fresh"" and it takes me to an error page. What's the deal?",@117954 I'm sorry to hear about the trouble. We'd like to take a closer look into this for you here: https://t.co/hApLpMlfHN ^LI
10662,@115821 where’s my damn nutribullet,@117956 I'm sorry you haven't received your item! Can you tell us who the carrier is? Found here: https://t.co/q4LAMZ3tbE ^AC
11065,"@AmazonHelp it was doing this a few days ago and a factory reset fixed it, for two days. A hard reboot with card in or out does not resolve.","@118087 That's odd! We'd like to help further with this. When you can, please reach out to us here: https://t.co/hApLpMlfHN ^HM"
11579,@AmazonHelp Please do it fast,"@118231 I get your concern, Hussain. As requested, please reply to the correspondence sent by our specialist team. (1/3) ^SV"
12494,@AmazonHelp I already emailed y’all.,"@118498 I'm sorry about the link. For a faster response, contact us by phone here: https://t.co/jzvkhdlrK5 without signing in. ^BE"
12498,@AmazonHelp Is that a 24 hr line,@118498 Yes. Our main customer service line is open 24 hours a day. ^LJ
12509,@115821 thanks for such thoughtful packing. Must be why it takes so long to ship #whoneedspeanuts #oversized https://t.co/c3quxqnvqi,@118503 That does seem excessive. Help us improve by leaving order specific packaging feedback here: https://t.co/TH7UAFZey5. ^EZ
12544,@AmazonHelp Can you please update over this quickly,"@118505 We've sent a correspondence to your registered email address, request you to check the same. ^SH"
13175,@AmazonHelp É o livro Os arquivos secretos do homem morcego. Simplesmente magnífico,@118707 Parece um livro interessante demais. Espero que curta muito da leitura dele! :D Abraço. ^CR
13878,@AmazonHelp all emails already shared with earlier tweet. https://t.co/2sVFZ4iG9Q,@118918 Kindly share your details in the link given earlier and we'll be sure to help you in getting this issue resolved. ^ZH
15282,@AmazonHelp Order details!!! https://t.co/Rapb0ePnLK,@119352 Please don’t provide your order details as we consider them to be personal info. Our Twitter page is visible to public. ^JC
15294,アマゾンの荷物届かないんですけどー！！聞いたこと無い業者から配達されるから怪しいと思ってたらこれだよ。,"@119357 ご心配をおかけしております。
お届け予定日の最終日を経過している場合は、状況を確認させていただければと存じます。
よろしければ、下記URLよりご連絡ください。https://t.co/J6YEizo6qC TY"
15442,@AmazonHelp Hey so my package has not arrived yet. Can I get this sorted please,"@119403 While we can't access order or account details through social media, we'd still like to help! Please reach us directly via phone or chat so we can investigate: https://t.co/JzP7hlA23B ^CS"
15686,"@AmazonHelp Order no - 403-7559101-5645129 
Return reference - 710398288491
Article name - puma shoes","@119451 number. Also, please don't provide order details, we consider it to be personal info. Our page is visible to the public.(2/2)^SF"
16117,@115850 No speedy respnse frm the seller side..I asked 2 return my money but they are not ready 2 clr my issue i need my query to b solved,@119535 the A-z guarantee claim. You can know more about A-z guarantee claim here: https://t.co/cly38I8avX 3/3 ^SH
16813,@AmazonHelp This says will be reaching please can some one really #help me I promise wont make any further purchase with #Amazon #help #shameful https://t.co/yuU8kSbKOs,"@119701 Aadil, please reply to the email you've received from our team so that we can assist you accordingly. ^MS"
16824,@115821 @115850 @AmazonHelp req a replace for one of my purchase it was scheduled for today between 10 to 1 its 3 no one has come #help,@119701 Apologies for the delay. Have you reported this to our support team here: https://t.co/vlvfJr4nN9? ^RB
17200,@AmazonHelp Kindly note i will not received or accept my last order. I have choosen COD but due bad service of Prime i will not accept,@119791 I'm sorry for the unpleasant experience. We'd like to change it. Please (1/2)^SF
17186,@AmazonHelp Kindly share my contact number 9800019281 to ur team to contact me,@119791 We're unable to arrange a callback for you over Twitter. Please make a request using the link above and we'll oblige. 1/2 ^AB
17214,@AmazonHelp Pathetic reply by your caller,@119791 Did we happen to miss the estimated delivery date? ^AG
17220,@AmazonHelp None of your links are taking me to a solution. Been after this since 3 days. Most pathetic service ever. You guys shall call me ASAP! (1/2),@119793 Please add an email address to your account and then continue to fill the form. Appreciate your patience. ^RW
17234,Going to take this in the consumer court...total fraud from amazon @AmazonHelp i will sue you guys for this ... https://t.co/R8hCqnIS4i,"@119794 We're unable to verify any detail over Twitter, Anjana. Please respond to our email so we could take it from there. ^JC"
17641,@AmazonHelp #pathetic customer service. New low in e-commerce. Trying to raise a return request 5 times. #Fail,@119902 Sorry for the trouble while raising a return request. May I know if you have been asked to self return the item? ^SH
17912,@AmazonHelp @119973 Es nervt das ich mich seit neusten  beinahe täglich auf. Fire tv stick neu einloggen muss 😈,"@119972 Oje! Melde dich doch gleich mal hier https://t.co/wWn0qM25US und lass meine Kollegen prüfen, was da los sein könnte. Gruß ^DS"
2561,Erm @AmazonHelp I bought this item for £5.99... why am I only getting £1.67 back?! https://t.co/lb33bFOcW0,"@116318 I'm sorry you didn't receive the refund amount you expected. Please check here for more info: 
https://t.co/I5rEOyBt2k ^BT"
18139,"@AmazonHelp Have already shared my registered mobile no. 9673101122, but I m currently contactable on 9818601122","@120032 Please don't provide your order details, we consider it to be personal info. Our page is visible to the public.  2/2^VH"
18131,@115850 @AmazonHelp 'Handed over directly to Customer' when I'd left this place at 6:00 pm &amp; never returned for the night. Trust @115850 to do the impossible,"@120030 I'm sorry, this was never our intention. Did you report this to our customer service team here: https://t.co/vlvfJr4nN9. ^SI"
18913,@AmazonHelp I did not get any kindly resend.,"@120227 You should have received an email from us. In case, you haven't received the email,1/2^HN"
18923,@AmazonHelp Is there any update??,"@120227 We've responded to you via email, Saurabh. Please reply to the email sent for more information. ^KS"
18929,@AmazonHelp You people always escalated issue and for another 24 hours.kindly do something substantial.still issue is unresolved. such a poor service.,@120227 Our team is currently working on your issue and will be resolved at the earliest. (1/2)^AU
18945,"Disappointed with order# 407-5957878-5349150
Ordered through prime ID and paid Rs. 50 extra on prime. Still haven't received it.
@115850",@120228 Our Twitter page is visible to public. 3/3 ^SB
19185,"@115821 For now please just tend to my new orders I just https://t.co/n5enuyETJb are those 300,000 pairs of gloves selling?",@120230 We can't see your orders from here unfortunately but if you use the link ^JJ sent we can help :) ^AS
19209,"@115850  ordered #Redmi4 OrderId 407-0938237-9516324.. not yet delivrd
pathetic service from #Amazon",@120264 I'd like to take a closer look into it. Please fill in this form: https://t.co/GIJyeYqKE0 and I'll revert shortly. 1/2 ^AB
19214,"Can't change my new Email address with @115821 ! I'm repeatedly told: ""There was a problem with your Password""","@120230 Hi, sorry to hear that you're having trouble logging in. Please contact us here:https://t.co/jzvkhdlrK5 to look into this.^JJ"
19216,@115850 you don't care about the time of non prime customers !! Really sad to see the bad delivery of Amazon! Still waiting for delivery.,@120266 Please fill in your details using the link: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK (2/3)
19434,@AmazonHelp Daily same msg coming but do not delivered,@120316 we have missed on the estimated delivery date? 2/2 ^SB
19447,"@AmazonHelp Name of account -avaneesh Kumar chaubey 
Contact number -8269451504
Order number - 405-3324870-8447534
Product - titan watch",@120318 We don't have access to your account over Twitter. Please share your details in the link given earlier by 'GS'. (1/2) ^ZH
19477,"@115821 broke family&amp; friends trust.Ordered a product month ago,return/refund requested on same month, but still waiting for pickup &amp; refund https://t.co/noCu65cIeB",@120324 as possible. Kindly drop your details here: https://t.co/Bt7pD1u7yO and I'll get back to you. 2/2 ^SH
20446,@AmazonHelp No option of call with customer care,"@120469 If you're unable to arrange a call back, kindly contact our support team using the chat/email option and we'll help you. ^ZH"
20442,@AmazonHelp Please call back me...,@120469 Please click here: https://t.co/2l2eM2Q8NU after selecting the appropriate issue click 1/2 ^SH
21015,@AmazonHelp Hey I have filled the form multiple times do I look like a fool to fill again and again. Give a resolution that's it,"@118505 As you have filled the form, you will receive an email here: https://t.co/qrNGs448NG ^RW"
21053,@AmazonHelp I did recieve an email indicating the package is being returned to the fulfillment centre. What type of nonsense is this?,"@120613 If you've provided the details earlier in the link, you should've received an email from the social media team. ^NR"
21099,@AmazonHelp I have the parcel now but my point is that I’m paying a monthly fee for a service that I’m not getting the benefit of,"@120620 Sorry, did you report the delay to us: https://t.co/JzP7hlA23B? Here's a list of all Prime benefits: https://t.co/1F8zzRxUMC!^JJ"
21397,"@AmazonHelp 😂😂😂 Wie gesagt euch ein schönen restlichen Feiertag, auch wenn ich Supportet (nennt man das so?) 😂","@120682 Danke, dir auch. Wir supporten dann mal fleißig weiter 😄 ^AN"
21459,Friend has received his Amazon Echo Plus shipment in the morning today. Still waiting for my dot.,@120689 Our products are shipped on time so that they can reach you by the estimated delivery date. 1/2 ^AH
21471,@AmazonHelp I have no any mail  reply from u please,@120261 We will look into it. 2/2 ^SB
21490,@115850 frnd ordered kindle wich was not delivered.He canceled order &amp; U agreed. Bt aftr a mnth U r denying to give refund. Disappointing,@120693 here: https://t.co/beaaDm0muc and I’ll contact you soon. 2/2 ^AH
21530,@AmazonHelp Kindly see this picture.. what kind of crap is this . I haven't received refund for this product.its been two months . https://t.co/7b9FuW1gyI,"@120700 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.
 ^CB"
